% Bus Data
%	Bus_I	Pd	Qd	Bs	Type	Vm	Va	basekV	Vmax	Vmin
bus=[
2	33	0.018	0.01	1	0	9990
3	34	0.01	0.009	1	0	9990
4	35	0.03	0.012	1	0	9990
35	36	3.29	1.20	1	0	9990
36	37	0.29	0.10	1	0	9990
37	38	0.88	0.32	1	0	9990
38	39	0.14	0.05	1	0	9990
39	40	0.76	0.27	1	0	9990
40	41	0.03	0.01	1	0	9990
40	42	0.86	0.31	1	0	9990
35	43	0.04	0.01	1	0	9990
36	44	0.61	0.22	1	0	9990
44	45	0.04	0.01	1	0	9990
44	46	0.71	0.26	1	0	9990
37	47	1.01	0.37	1	0	9990
38	48	0.84	0.30	1	0	9990
39	49	0.04	0.01	1	0	9990
5	50	0.01	0.005	1	0	9990
6	51	0.36	0.13	1	0	9990
51	52	0.037	0.013	1	0	9990
51	53	0.71	0.26	1	0	9990
7	54	0.40	0.14	1	0	9990
8	55	0.38	0.14	1	0	9990
55	56	0.06	0.02	1	0	9990
9	57	0.03	0.01	1	0	9990
57	58	0.08	0.03	1	0	9990
57	59	0.04	0.01	1	0	9990
10	60	0.02	0.01	1	0	9990
60	61	0.13	0.05	1	0	9990
61	62	0.51	0.18	1	0	9990
62	63	0.63	0.23	1	0	9990
60	64	1.31	0.47	1	0	9990
64	65	0.34	0.12	1	0	9990
65	66	1.08	0.39	1	0	9990
65	67	0.34	0.12	1	0	9990
64	68	0.45	0.16	1	0	9990
14	69	0.04	0.01	1	0	9990
15	70	0.01	0.01	1	0	9990
70	71	0.05	0.05	1	0	9990
71	72	0.28	0.28	1	0	9990
72	73	0.27	0.27	1	0	9990
73	74	0.21	0.21	1	0	9990
74	75	0.04	0.04	1	0	9990
75	76	0.04	0.04	1	0	9990
76	77	0.20	0.07	1	0	9990
77	78	0.32	0.11	1	0	9990
70	79	0.01	0.01	1	0	9990
79	80	0.50	0.18	1	0	9990
80	81	0.76	0.27	1	0	9990
81	82	0.34	0.12	1	0	9990
80	83	0.03	0.01	1	0	9990
73	84	0.01	0.007	1	0	9990
74	85	0.02	0.007	1	0	9990
75	86	0.03	0.01	1	0	9990
86	87	0.90	0.32	1	0	9990
87	88	0.01	0.007	1	0	9990
86	89	0.06	0.02	1	0	9990
76	90	0.45	0.44	1	0	9990
90	91	0.29	0.28	1	0	9990
91	92	0.02	0.01	1	0	9990
92	93	1.44	0.52	1	0	9990
93	94	0.26	0.09	1	0	9990
94	95	0.65	0.24	1	0	9990
90	96	0.02	0.009	1	0	9990
96	97	1.18	0.43	1	0	9990
97	98	0.59	0.21	1	0	9990
98	99	0.24	0.08	1	0	9990
99	100	1.05	0.38	1	0	9990
98	101	0.44	0.43	1	0	9990
92	102	0.02	0.01	1	0	9990
102	103	0.53	0.19	1	0	9990
102	104	0.52	0.19	1	0	9990
93	105	0.05	0.01	1	0	9990
94	106	1.63	0.59	1	0	9990
17	107	0.25	0.09	1	0	9990
107	108	0.58	0.21	1	0	9990
108	109	0.19	0.07	1	0	9990
107	110	0.11	0.04	1	0	9990
108	111	0.15	0.05	1	0	9990
18	112	0.01	0.01	1	0	9990
112	113	0.04	0.04	1	0	9990
113	114	0.04	0.01	1	0	9990
112	115	0.29	0.10	1	0	9990
113	116	0.01	0.01	1	0	9990
116	117	0.22	0.21	1	0	9990
20	118	0.02	0.01	1	0	9990
118	119	0.06	0.02	1	0	9990
119	120	0.11	0.04	1	0	9990
120	121	0.004	0.001	1	0	9990
121	122	0.10	0.03	1	0	9990
122	123	0.03	0.01	1	0	9990
118	124	0.10	0.03	1	0	9990
119	125	0.023	0.008	1	0	9990
120	126	0.028	0.01	1	0	9990
126	127	0.13	0.05	1	0	9990
127	128	0.04	0.01	1	0	9990
128	129	0.03	0.01	1	0	9990
129	130	0.04	0.01	1	0	9990
130	131	0.10	0.03	1	0	9990
127	132	0.09	0.03	1	0	9990
127	133	0.023	0.008	1	0	9990
128	134	0.17	0.06	1	0	9990
129	135	0.12	0.04	1	0	9990
21	136	0.008	0.008	1	0	9990
136	137	0.16	0.15	1	0	9990
137	138	18.28	17.93	1	0	9990
138	139	0.01	0.01	1	0	9990
139	140	17.60	6.57	1	0	9990
140	141	0.12	0.04	1	0	9990
136	142	0.0009	0.0003	1	0	9990
137	143	0.08	0.03	1	0	9990
139	144	0.03	0.012	1	0	9990
144	145	0.22	0.08	1	0	9990
145	146	0.22	0.08	1	0	9990
144	147	0.07	0.028	1	0	9990
140	148	0.21	0.07	1	0	9990
141	149	0.16	0.05	1	0	9990
141	150	0.03	0.01	1	0	9990
23	151	0.01	0.004	1	0	9990
24	152	0.004	0.004	1	0	9990
25	153	0.004	0.004	1	0	9990
26	154	0.004	0.004	1	0	9990
27	155	0.01	0.007	1	0	9990
28	156	0.04	0.01	1	0	9990
29	157	0.11	0.04	1	0	9990];
